trade_id,security_isin,security_type,trade_amount,currency,counterparty,counterparty_risk_score,historical_fail_rate,market_volatility_index,settlement_delay_days,settlement_failed
1,US634895718,Bond,3576311.75,EUR,HSBC,0.92,0.14,37.12,3,1
2,US299900595,Equity,2843515.34,USD,Morgan Stanley,0.488,0.017,22.34,1,0
3,US962061404,Bond,4885423.38,JPY,Citi,0.064,0.149,33.8,1,0
4,US887846414,Derivative,1371385.12,USD,JPMorgan,0.229,0.029,16.09,3,0
5,US227521863,Equity,800281.37,GBP,JPMorgan,0.579,0.005,24.81,4,0
6,US523734972,Equity,269668.81,GBP,HSBC,0.088,0.104,13.82,2,0
7,US515968276,Equity,1212388.71,GBP,HSBC,0.424,0.116,22.39,3,1
8,US770094950,Equity,3423513.72,USD,Citi,0.329,0.007,17.87,0,0
9,US941095289,Derivative,435438.54,USD,Goldman Sachs,0.815,0.103,26.48,1,0
10,US769991378,Bond,1231062.21,USD,Goldman Sachs,0.11,0.107,33.41,0,1
11,US529389014,Derivative,4277988.76,GBP,Citi,0.683,0.01,38.15,0,0
12,US349467210,Bond,2918935.22,GBP,Barclays,0.407,0.142,18.52,0,1
13,US998717130,Derivative,356912.49,GBP,Barclays,0.588,0.042,32.29,3,1
14,US598972759,Equity,247938.89,USD,Goldman Sachs,0.206,0.159,36.57,3,1
15,US459525748,Equity,315003.15,USD,Morgan Stanley,0.61,0.062,13.75,0,0
16,US534285667,Derivative,4709956.5,JPY,BNP Paribas,0.674,0.096,27.58,3,0
17,US713608295,Derivative,4250858.43,EUR,JPMorgan,0.07,0.178,28.36,0,0
18,US993664919,Bond,4226250.81,GBP,HSBC,0.824,0.161,18.17,0,0
19,US748061058,Derivative,4621841.64,USD,Morgan Stanley,0.861,0.156,10.68,2,1
20,US188409749,Derivative,2531224.4,EUR,HSBC,0.064,0.032,17.7,2,0
21,US342285876,Bond,1244249.91,USD,Goldman Sachs,0.603,0.01,27.54,2,0
22,US454088427,Bond,2012726.54,USD,Citi,0.594,0.121,15.89,4,0
23,US909827741,Bond,3597131.72,GBP,Barclays,0.012,0.082,18.62,1,0
24,US103344769,Derivative,4381404.03,EUR,Goldman Sachs,0.342,0.182,31.24,3,1
25,US880932287,Bond,2181103.72,USD,Morgan Stanley,0.969,0.07,21.95,2,0
26,US887716372,Equity,2681550.97,EUR,Morgan Stanley,0.555,0.082,11.96,1,0
27,US604579232,Equity,4659597.14,EUR,BNP Paribas,0.933,0.105,21.97,1,0
28,US332968651,Equity,546418.2,GBP,HSBC,0.676,0.159,39.99,3,1
29,US579546681,Derivative,4312873.09,EUR,Goldman Sachs,0.028,0.054,17.83,4,0
30,US206328085,Equity,804944.34,JPY,JPMorgan,0.078,0.188,17.96,0,0
31,US130349564,Derivative,2424468.14,JPY,Morgan Stanley,0.722,0.108,15.1,2,0
32,US881447915,Derivative,1099931.41,GBP,JPMorgan,0.555,0.168,18.15,4,1
33,US199052376,Equity,3018708.68,GBP,JPMorgan,0.127,0.105,27.24,3,0
34,US277077808,Bond,2797281.37,JPY,HSBC,0.614,0.154,38.94,4,0
35,US206406362,Derivative,1906236.75,GBP,Citi,0.81,0.01,28.23,1,1
36,US580404538,Equity,4317884.54,EUR,Goldman Sachs,0.753,0.16,22.3,4,0
37,US743647998,Derivative,3302468.47,USD,Goldman Sachs,0.246,0.105,21.69,2,0
38,US699121577,Bond,3608813.57,GBP,JPMorgan,0.258,0.09,10.73,4,0
39,US300427519,Bond,761792.09,JPY,Citi,0.968,0.022,10.08,4,0
40,US281009883,Equity,4416996.73,USD,Morgan Stanley,0.887,0.148,33.92,1,1
41,US599770319,Derivative,843530.42,EUR,Morgan Stanley,0.318,0.026,24.7,4,1
42,US985063869,Derivative,1121696.97,USD,Goldman Sachs,0.824,0.038,11,1,0
43,US489151677,Derivative,648995.14,JPY,HSBC,0.162,0.025,18.58,2,0
44,US251079598,Derivative,2207392.45,USD,HSBC,0.197,0.001,20.7,2,1
45,US608464061,Equity,4439669.07,JPY,JPMorgan,0.181,0.132,33.5,0,0
46,US957592370,Bond,1269713.12,GBP,Citi,0.088,0.054,23.03,0,0
47,US668919915,Equity,1875029.57,GBP,Citi,0.855,0.03,33.68,1,0
