trade_id,security_isin,trade_amount,counterparty_risk_score,historical_fail_rate,market_volatility_index,settlement_delay_days,settlement_failed,security_type_Derivative,security_type_Equity,currency_GBP,currency_JPY,currency_USD,counterparty_Barclays,counterparty_Citi,counterparty_Goldman Sachs,counterparty_HSBC,counterparty_JPMorgan,counterparty_Morgan Stanley,trade_size_category_Medium,trade_size_category_Large,trade_size_category_XL
1,US634895718,3576311.75,0.92,0.14,37.12,3,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2,US299900595,2843515.34,0.488,0.017,22.34,1,0,False,True,False,False,True,False,False,False,False,False,True,False,False,True
3,US962061404,4885423.38,0.064,0.149,33.8,1,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True
4,US887846414,1371385.12,0.229,0.029,16.09,3,0,True,False,False,False,True,False,False,False,False,True,False,False,True,False
5,US227521863,800281.37,0.579,0.005,24.81,4,0,False,True,True,False,False,False,False,False,False,True,False,False,True,False
6,US523734972,269668.81,0.088,0.104,13.82,2,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False
7,US515968276,1212388.71,0.424,0.116,22.39,3,1,False,True,True,False,False,False,False,False,True,False,False,False,True,False
8,US770094950,3423513.72,0.329,0.007,17.87,0,0,False,True,False,False,True,False,True,False,False,False,False,False,False,True
9,US941095289,435438.54,0.815,0.103,26.48,1,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False
10,US769991378,1231062.21,0.11,0.107,33.41,0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False
11,US529389014,4277988.76,0.683,0.01,38.15,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
12,US349467210,2918935.22,0.407,0.142,18.52,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True
13,US998717130,356912.49,0.588,0.042,32.29,3,1,True,False,True,False,False,True,False,False,False,False,False,True,False,False
14,US598972759,247938.89,0.206,0.159,36.57,3,1,False,True,False,False,True,False,False,True,False,False,False,True,False,False
15,US459525748,315003.15,0.61,0.062,13.75,0,0,False,True,False,False,True,False,False,False,False,False,True,True,False,False
16,US534285667,4709956.5,0.674,0.096,27.58,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True
17,US713608295,4250858.43,0.07,0.178,28.36,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True
18,US993664919,4226250.81,0.824,0.161,18.17,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
19,US748061058,4621841.64,0.861,0.156,10.68,2,1,True,False,False,False,True,False,False,False,False,False,True,False,False,True
20,US188409749,2531224.4,0.064,0.032,17.7,2,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True
21,US342285876,1244249.91,0.603,0.01,27.54,2,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False
22,US454088427,2012726.54,0.594,0.121,15.89,4,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True
23,US909827741,3597131.72,0.012,0.082,18.62,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True
24,US103344769,4381404.03,0.342,0.182,31.24,3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True
25,US880932287,2181103.72,0.969,0.07,21.95,2,0,False,False,False,False,True,False,False,False,False,False,True,False,False,True
26,US887716372,2681550.97,0.555,0.082,11.96,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True
27,US604579232,4659597.14,0.933,0.105,21.97,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
28,US332968651,546418.2,0.676,0.159,39.99,3,1,False,True,True,False,False,False,False,False,True,False,False,False,True,False
